Cluster,Population,MeanRMSD,currentEnergy min,currentEnergy 5-percentile,currentEnergy 25-percentile,currentEnergy mean,currentEnergy 75-percentile,currentEnergy 95-percentile,currentEnergy max,currentEnergy standard deviation,Binding Energy min,Binding Energy 5-percentile,Binding Energy 25-percentile,Binding Energy mean,Binding Energy 75-percentile,Binding Energy 95-percentile,Binding Energy max,Binding Energy standard deviation,sasaLig min,sasaLig 5-percentile,sasaLig 25-percentile,sasaLig mean,sasaLig 75-percentile,sasaLig 95-percentile,sasaLig max,sasaLig standard deviation,Selected labels
13,0.010220635950681376,0.540321493565655,-9883.12,-9881.568,-9879.395,-9874.940952380952,-9870.83,-9868.543000000001,-9867.14,4.592622349524401,-27.4087,-26.947010000000002,-25.52785,-23.154120634920634,-21.57175,-18.53359,-17.7155,2.6356365560535746,0.015737,0.02866587,0.03760525,0.04855555555555556,0.05973175,0.0716464,0.0784422,0.01443984064515221,H
10,0.012654120700843608,0.5807411574028111,-9881.15,-9879.735999999999,-9877.2925,-9875.302051282051,-9873.1075,-9870.3655,-9867.78,2.790020843123253,-29.4474,-28.48787,-27.252200000000002,-26.115392307692307,-25.1582,-22.027525000000004,-20.0631,1.7988096768503812,0.0070104,0.01655452,0.018228925,0.02103659487179487,0.02170495,0.03187671999999999,0.0367177,0.004877236132117784,G
19,0.004380272550292018,0.9370971565745722,-9878.25,-9876.233,-9875.29,-9871.976666666667,-9868.369999999999,-9867.052000000001,-9867.01,3.5010442886531057,-21.6287,-21.447670000000002,-20.19655,-19.418814814814816,-18.4653,-17.54723,-17.1721,1.2047485152369792,0.0449152,0.04709361,0.05961085,0.0799418185185185,0.10297400000000001,0.1138448,0.116208,0.023576357081949346,-
15,0.009247242050616482,0.743382068942942,-9899.01,-9891.38,-9879.57,-9877.286491228071,-9872.55,-9870.359999999999,-9867.21,6.803432696841435,-29.7226,-28.884240000000002,-26.8016,-24.674049122807016,-23.0727,-16.09484,-14.2317,3.653794049647034,0.00116824,0.008975502,0.0167943,0.026406529298245614,0.0345396,0.04490747999999999,0.0575824,0.011823560484029536,-
16,0.010382868267358857,0.975725210451388,-9880.23,-9877.1865,-9873.05,-9871.464218750001,-9869.485,-9868.198,-9867.1,2.7669482312917486,-20.2411,-19.478579999999997,-17.876350000000002,-16.8510109375,-15.79525,-14.758975000000001,-12.8565,1.4680042080062716,0.043948,0.054770295,0.06582925,0.07699640468749999,0.084267025,0.11174834999999998,0.122239,0.017806648063806375,-
21,0.0027579493835171967,0.7220582864622735,-9884.76,-9883.271999999999,-9874.42,-9873.060588235294,-9869.53,-9867.338,-9867.05,4.715853700505082,-23.7682,-23.48372,-22.6737,-20.360523529411765,-18.9309,-17.2397,-16.2041,2.2542861425266185,0.0163443,0.0193983,0.0239657,0.04275888823529411,0.0652244,0.08546131999999998,0.0965782,0.025838117611386893,-
11,0.008111615833874108,0.8691247361206237,-9879.71,-9876.518,-9874.255000000001,-9871.6044,-9868.465,-9867.447,-9867.28,3.250307776195952,-23.1657,-22.5804,-18.310950000000002,-17.094298000000002,-15.433275,-13.602755000000002,-12.3412,2.5658578632098856,0.0447921,0.04880028,0.066784325,0.087365006,0.10567499999999999,0.12850359999999997,0.142175,0.02500507267194727,-
30,0.0004866969500324465,0.776813816431737,-9874.63,-9874.548999999999,-9874.224999999999,-9873.226666666666,-9872.525,-9871.489,-9871.23,1.450065132636671,-18.3834,-18.37902,-18.3615,-16.987733333333335,-16.2899,-14.65014,-14.2402,1.9428817382663546,0.0596582,0.06317882,0.0772613,0.08446666666666668,0.09687090000000001,0.0984761,0.0988774,0.017618570808729698,-
31,0.000973393900064893,0.7513838375984406,-9872.91,-9872.9025,-9872.602499999999,-9870.691666666666,-9869.330000000002,-9868.210000000001,-9867.85,1.9345147252529855,-20.4714,-20.021925,-18.64,-18.5116,-18.14895,-17.126875,-16.8292,1.0755343602135636,0.0621462,0.0626827,0.065811625,0.07229315,0.0777973,0.08132365,0.0823358,0.007345462624357526,-
29,0.0011356262167423752,0.7268503269899592,-9876.95,-9876.224,-9874.285,-9872.554285714286,-9870.82,-9868.598,-9868.01,2.7663377396474416,-20.6344,-20.56012,-20.29455,-17.561814285714288,-15.887049999999999,-13.759990000000002,-12.9493,2.718222023638967,0.0212157,0.02744301,0.046098349999999996,0.048475585714285715,0.0577415,0.05831045,0.058361,0.01237056458654155,-
