Cluster,Population,MeanRMSD,currentEnergy min,currentEnergy 5-percentile,currentEnergy 25-percentile,currentEnergy mean,currentEnergy 75-percentile,currentEnergy 95-percentile,currentEnergy max,currentEnergy standard deviation,sasaLig min,sasaLig 5-percentile,sasaLig 25-percentile,sasaLig mean,sasaLig 75-percentile,sasaLig 95-percentile,sasaLig max,sasaLig standard deviation,Selected labels
650,0.0005027652086475615,0.0,-19.8593,-19.8593,-19.8593,-19.8593,-19.8593,-19.8593,-19.8593,0.0,1.00102,1.00102,1.00102,1.00102,1.00102,1.00102,1.00102,0.0,-
495,0.0005027652086475615,0.0,-23.118,-23.118,-23.118,-23.118,-23.118,-23.118,-23.118,0.0,0.995666,0.995666,0.995666,0.995666,0.995666,0.995666,0.995666,0.0,-
208,0.001005530417295123,0.5070724307236599,-25.8914,-25.69296,-24.8992,-23.907,-22.9148,-22.12104,-21.9226,1.9844000000000008,0.967341,0.9679214,0.970243,0.9731449999999999,0.976047,0.9783685999999999,0.978949,0.005803999999999976,-
230,0.001005530417295123,0.44647273153015776,-25.1204,-25.061165,-24.824225,-24.52805,-24.231875000000002,-23.994935,-23.9357,0.5923499999999997,0.974625,0.9753434999999999,0.9782175,0.98181,0.9854025,0.9882765,0.988995,0.007184999999999997,-
608,0.0005027652086475615,0.0,-21.2825,-21.2825,-21.2825,-21.2825,-21.2825,-21.2825,-21.2825,0.0,0.940791,0.940791,0.940791,0.940791,0.940791,0.940791,0.940791,0.0,-
592,0.0005027652086475615,0.0,-26.6494,-26.6494,-26.6494,-26.6494,-26.6494,-26.6494,-26.6494,0.0,0.994126,0.994126,0.994126,0.994126,0.994126,0.994126,0.994126,0.0,-
428,0.0005027652086475615,0.0,-21.0547,-21.0547,-21.0547,-21.0547,-21.0547,-21.0547,-21.0547,0.0,0.980743,0.980743,0.980743,0.980743,0.980743,0.980743,0.980743,0.0,-
660,0.0005027652086475615,0.0,-21.0584,-21.0584,-21.0584,-21.0584,-21.0584,-21.0584,-21.0584,0.0,0.974857,0.974857,0.974857,0.974857,0.974857,0.974857,0.974857,0.0,-
129,0.0015082956259426848,0.49567944724516555,-23.2913,-23.18628,-22.766199999999998,-22.270466666666664,-21.76005,-21.37521,-21.279,0.821780434314557,0.933673,0.9340687,0.9356515,0.9374566666666667,0.9393484999999999,0.9407232999999999,0.941067,0.0030210751213581096,-
451,0.0005027652086475615,0.0,-20.8348,-20.8348,-20.8348,-20.8348,-20.8348,-20.8348,-20.8348,0.0,1.00128,1.00128,1.00128,1.00128,1.00128,1.00128,1.00128,0.0,-
323,0.0005027652086475615,0.0,-24.4523,-24.4523,-24.4523,-24.4523,-24.4523,-24.4523,-24.4523,0.0,0.990498,0.990498,0.990498,0.990498,0.990498,0.990498,0.990498,0.0,-
